 0.2200000E-01 -0.5576374E+00 -0.1574005E+00 -0.9816280E+00 -0.9029011E+00  0.2932198E+00  0.1031904E+00  0.2898760E+00  0.2840490E+00  0.1320843E+00 -0.2494570E+00 -0.7655233E+00  0.2149777E+00
 0.2400000E-01 -0.5576922E+00 -0.1574197E+00 -0.9816716E+00 -0.9029523E+00  0.2932541E+00  0.1032031E+00  0.2899100E+00  0.2840823E+00  0.1321005E+00 -0.2494866E+00 -0.7655812E+00  0.2150036E+00
 0.2600000E-01 -0.5577517E+00 -0.1574405E+00 -0.9817189E+00 -0.9030078E+00  0.2932912E+00  0.1032169E+00  0.2899468E+00  0.2841185E+00  0.1321181E+00 -0.2495188E+00 -0.7656441E+00  0.2150317E+00
 0.2800000E-01 -0.5578157E+00 -0.1574629E+00 -0.9817699E+00 -0.9030676E+00  0.2933313E+00  0.1032317E+00  0.2899865E+00  0.2841575E+00  0.1321370E+00 -0.2495535E+00 -0.7657118E+00  0.2150619E+00
 0.3000000E-01 -0.5578842E+00 -0.1574869E+00 -0.9818245E+00 -0.9031315E+00  0.2933741E+00  0.1032476E+00  0.2900289E+00  0.2841992E+00  0.1321573E+00 -0.2495906E+00 -0.7657842E+00  0.2150942E+00
 0.3200000E-01 -0.5579571E+00 -0.1575124E+00 -0.9818826E+00 -0.9031997E+00  0.2934197E+00  0.1032645E+00  0.2900741E+00  0.2842435E+00  0.1321788E+00 -0.2496300E+00 -0.7658613E+00  0.2151286E+00
 0.3400000E-01 -0.5580344E+00 -0.1575395E+00 -0.9819442E+00 -0.9032719E+00  0.2934680E+00  0.1032824E+00  0.2901220E+00  0.2842906E+00  0.1322017E+00 -0.2496719E+00 -0.7659431E+00  0.2151651E+00
 0.3600000E-01 -0.5581160E+00 -0.1575680E+00 -0.9820092E+00 -0.9033481E+00  0.2935190E+00  0.1033013E+00  0.2901726E+00  0.2843403E+00  0.1322258E+00 -0.2497161E+00 -0.7660295E+00  0.2152036E+00
 0.3800000E-01 -0.5582018E+00 -0.1575981E+00 -0.9820777E+00 -0.9034284E+00  0.2935726E+00  0.1033211E+00  0.2902259E+00  0.2843926E+00  0.1322512E+00 -0.2497626E+00 -0.7661204E+00  0.2152441E+00
 0.4000000E-01 -0.5582918E+00 -0.1576296E+00 -0.9821495E+00 -0.9035125E+00  0.2936289E+00  0.1033420E+00  0.2902817E+00  0.2844474E+00  0.1322779E+00 -0.2498113E+00 -0.7662158E+00  0.2152866E+00
 0.4200000E-01 -0.5583860E+00 -0.1576625E+00 -0.9822247E+00 -0.9036005E+00  0.2936877E+00  0.1033638E+00  0.2903401E+00  0.2845048E+00  0.1323058E+00 -0.2498623E+00 -0.7663155E+00  0.2153311E+00
 0.4400000E-01 -0.5584841E+00 -0.1576969E+00 -0.9823032E+00 -0.9036924E+00  0.2937491E+00  0.1033865E+00  0.2904010E+00  0.2845646E+00  0.1323348E+00 -0.2499155E+00 -0.7664196E+00  0.2153775E+00
 0.4600000E-01 -0.5585863E+00 -0.1577327E+00 -0.9823849E+00 -0.9037880E+00  0.2938129E+00  0.1034102E+00  0.2904644E+00  0.2846269E+00  0.1323651E+00 -0.2499709E+00 -0.7665280E+00  0.2154258E+00
 0.4800000E-01 -0.5586924E+00 -0.1577698E+00 -0.9824698E+00 -0.9038874E+00  0.2938793E+00  0.1034348E+00  0.2905303E+00  0.2846916E+00  0.1323966E+00 -0.2500285E+00 -0.7666407E+00  0.2154760E+00
 0.5000000E-01 -0.5588024E+00 -0.1578083E+00 -0.9825579E+00 -0.9039904E+00  0.2939480E+00  0.1034603E+00  0.2905986E+00  0.2847587E+00  0.1324292E+00 -0.2500881E+00 -0.7667575E+00  0.2155280E+00
